state,year,first_treated_year,policy_intensity,outcome
AZ,2010,2013,2.402,4.494
AZ,2011,2013,2.402,4.841
AZ,2012,2013,2.402,5.511
AZ,2013,2013,2.402,7.431
AZ,2014,2013,2.402,8.058
AZ,2015,2013,2.402,8.074
AZ,2016,2013,2.402,9.004
AZ,2017,2013,2.402,8.971
AZ,2018,2013,2.402,10.195
AZ,2019,2013,2.402,9.855
CA,2010,2013,1.15,4.024
CA,2011,2013,1.15,4.072
CA,2012,2013,1.15,4.431
CA,2013,2013,1.15,5.736
CA,2014,2013,1.15,6.044
CA,2015,2013,1.15,6.615
CA,2016,2013,1.15,6.852
CA,2017,2013,1.15,7.037
CA,2018,2013,1.15,7.747
CA,2019,2013,1.15,7.743
CO,2010,2013,1.801,4.163
CO,2011,2013,1.801,4.06
CO,2012,2013,1.801,5.606
CO,2013,2013,1.801,6.381
CO,2014,2013,1.801,7.034
CO,2015,2013,1.801,7.381
CO,2016,2013,1.801,7.941
CO,2017,2013,1.801,7.982
CO,2018,2013,1.801,8.789
CO,2019,2013,1.801,8.363
FL,2010,2015,0.953,5.003
FL,2011,2015,0.953,5.156
FL,2012,2015,0.953,5.373
FL,2013,2015,0.953,5.218
FL,2014,2015,0.953,5.443
FL,2015,2015,0.953,7.433
FL,2016,2015,0.953,7.514
FL,2017,2015,0.953,8.309
FL,2018,2015,0.953,8.311
FL,2019,2015,0.953,7.7
GA,2010,2015,1.368,5.427
GA,2011,2015,1.368,5.511
GA,2012,2015,1.368,5.725
GA,2013,2015,1.368,4.838
GA,2014,2015,1.368,5.71
GA,2015,2015,1.368,7.873
GA,2016,2015,1.368,8.307
GA,2017,2015,1.368,7.898
GA,2018,2015,1.368,8.737
GA,2019,2015,1.368,8.617
IL,2010,2015,1.011,3.486
IL,2011,2015,1.011,3.868
IL,2012,2015,1.011,4.148
IL,2013,2015,1.011,3.44
IL,2014,2015,1.011,3.81
IL,2015,2015,1.011,6.369
IL,2016,2015,1.011,6.644
IL,2017,2015,1.011,6.495
IL,2018,2015,1.011,7.162
IL,2019,2015,1.011,6.763
MI,2010,2017,0.843,8.038
MI,2011,2017,0.843,7.822
MI,2012,2017,0.843,8.403
MI,2013,2017,0.843,7.425
MI,2014,2017,0.843,8.342
MI,2015,2017,0.843,8.22
MI,2016,2017,0.843,8.295
MI,2017,2017,0.843,10.206
MI,2018,2017,0.843,10.998
MI,2019,2017,0.843,10.755
NV,2010,2017,1.204,4.584
NV,2011,2017,1.204,4.531
NV,2012,2017,1.204,5.066
NV,2013,2017,1.204,4.406
NV,2014,2017,1.204,4.751
NV,2015,2017,1.204,5.518
NV,2016,2017,1.204,5.096
NV,2017,2017,1.204,7.082
NV,2018,2017,1.204,8.5
NV,2019,2017,1.204,8.057
OH,2010,2017,0.76,4.436
OH,2011,2017,0.76,4.043
OH,2012,2017,0.76,5.24
OH,2013,2017,0.76,4.104
OH,2014,2017,0.76,4.602
OH,2015,2017,0.76,4.773
OH,2016,2017,0.76,5.12
OH,2017,2017,0.76,7.799
OH,2018,2017,0.76,7.699
OH,2019,2017,0.76,7.32
OR,2010,0,0.903,4.098
OR,2011,0,0.903,4.03
OR,2012,0,0.903,5.004
OR,2013,0,0.903,3.737
OR,2014,0,0.903,4.155
OR,2015,0,0.903,4.923
OR,2016,0,0.903,4.995
OR,2017,0,0.903,4.608
OR,2018,0,0.903,5.149
OR,2019,0,0.903,5.131
TX,2010,0,2.391,4.848
TX,2011,0,2.391,4.341
TX,2012,0,2.391,5.364
TX,2013,0,2.391,5.105
TX,2014,0,2.391,6.079
TX,2015,0,2.391,5.986
TX,2016,0,2.391,6.712
TX,2017,0,2.391,6.918
TX,2018,0,2.391,7.539
TX,2019,0,2.391,7.246
WA,2010,0,1.21,3.857
WA,2011,0,1.21,3.198
WA,2012,0,1.21,3.749
WA,2013,0,1.21,3.49
WA,2014,0,1.21,4.104
WA,2015,0,1.21,4.395
WA,2016,0,1.21,4.158
WA,2017,0,1.21,4.133
WA,2018,0,1.21,5.075
WA,2019,0,1.21,4.975
