id,year,first_treat,y
A,2017,2019,0.8719
A,2018,2019,1.0077
A,2019,2019,3.1602
A,2020,2019,3.1909
A,2021,2019,3.3381
A,2022,2019,3.4507
B,2017,2019,-0.8966
B,2018,2019,-0.7214
B,2019,2019,1.4186
B,2020,2019,1.4366
B,2021,2019,1.5522
B,2022,2019,1.7512
C,2017,2021,-0.5846
C,2018,2021,-0.3387
C,2019,2021,-0.4354
C,2020,2021,-0.2191
C,2021,2021,1.7409
C,2022,2021,1.9113
D,2017,2021,1.5648
D,2018,2021,1.5586
D,2019,2021,1.681
D,2020,2021,1.8077
D,2021,2021,3.8408
D,2022,2021,4.0313
E,2017,0,2.1598
E,2018,0,2.2285
E,2019,0,2.442
E,2020,0,2.5216
E,2021,0,2.7178
E,2022,0,2.7196
F,2017,0,-0.0602
F,2018,0,-0.0002
F,2019,0,0.183
F,2020,0,0.1831
F,2021,0,0.4077
F,2022,0,0.4498
