wage,educ,age,dist,momeduc
1.2234,0.9364,-0.1627,0.6753,0.6299
0.3747,-1.2473,0.4825,-1.4352,0.1901
1.0532,0.5892,-1.4994,-0.2963,0.2932
1.9641,-0.3691,0.6832,-1.3252,0.2963
2.4702,0.6098,-0.4405,-0.2115,0.3226
0.0888,-0.2156,-0.0609,-0.407,0.6708
-0.06,0.6215,-0.0017,0.5347,1.1174
0.4356,-0.6802,-0.8787,1.0402,-2.2705
3.8134,2.7781,-1.2183,0.9376,1.2577
-0.823,-1.5916,-0.9847,-1.6156,-0.2834
-0.438,0.5523,-1.052,1.3711,0.8982
0.7671,-0.05,-1.3577,-1.6077,0.9315
3.4615,3.3252,-1.406,2.9166,1.793
-0.9932,-1.0258,-0.9791,-0.255,0.7525
2.0482,0.869,1.5603,0.4687,0.5307
1.5925,-0.2568,-0.7178,0.2759,-0.3459
0.4906,-0.2271,-0.0936,-0.4087,0.3529
1.6107,-0.1538,0.0839,-1.5157,1.1066
-3.3282,-3.6208,0.3054,-0.6794,-1.654
0.2995,-1.1572,0.9837,-0.8083,-0.7356
0.7328,0.0928,1.545,0.8458,-0.0315
-0.4172,-1.1422,0.3922,-0.743,0.5178
-0.9921,-1.7714,-0.8237,-0.3789,0.2499
1.4409,-1.2151,0.5812,-1.5447,-0.322
-0.0614,-1.0399,0.9094,-0.6306,1.2266
-0.6481,-1.0148,0.7854,1.0302,0.7612
-3.2366,-2.952,-0.9377,-1.3883,-1.7981
-0.5601,-0.7464,0.9847,0.3085,0.3049
1.9177,1.6705,-0.8975,0.5173,-0.2702
4.2393,1.378,-1.5417,-1.253,-0.6143
1.6293,0.0132,1.2052,0.3162,1.0261
3.0469,1.8581,-0.2079,0.0774,2.5952
4.077,2.073,-0.5845,0.6045,-0.781
-0.193,-0.4274,-0.4415,0.604,-0.3472
1.3924,0.9749,0.5,1.1878,-0.0229
-0.035,-1.2971,1.9843,-0.6405,0.4661
2.8078,-0.2829,1.4562,-1.6683,-0.6123
3.1249,0.1082,1.1487,0.4597,-1.7138
1.0949,-0.8565,-0.7643,-1.8351,0.8186
1.1841,-0.0507,-0.4444,-0.3746,-0.733
2.1299,2.0664,0.4839,1.8247,0.0022
-0.7161,-1.0795,0.8425,0.252,-0.344
0.6617,-1.3851,0.7908,-0.8981,-0.3628
1.8388,-0.5372,-0.0133,-1.2253,-2.0899
-0.2762,-0.8917,0.5186,0.6101,-1.4297
1.3167,0.5971,-1.4973,0.0203,-0.2085
-0.775,-1.8981,0.5275,0.5918,-2.9486
2.9935,1.7116,-0.6828,0.0748,1.0273
-1.2626,-0.7755,0.2585,0.3741,0.4398
3.4196,1.9356,1.0203,0.7315,1.7045
-0.1129,0.1964,-1.1486,1.7431,-0.1558
-0.0172,-0.7985,0.3039,0.7622,-1.2673
1.4138,0.7188,1.3518,-1.251,1.2637
2.2884,-0.1952,-1.5527,-0.5674,-0.8767
0.1945,-0.7886,1.5815,0.3517,-1.2548
-0.0533,-0.0958,-0.4175,-0.1709,0.7882
-0.1165,-0.0526,-0.2961,0.6287,-0.2534
1.2831,-0.2215,0.4792,-0.3922,-0.4285
