date,gdp,interest_rate
2020-01-01,100,1.5
2020-02-01,101,1.5
2020-03-01,99,1.2
2020-04-01,102,1.1
2020-05-01,104,1.0
2020-06-01,105,1.0
2020-07-01,106,0.9
2020-08-01,107,0.9
2020-09-01,108,0.8
2020-10-01,109,0.8
2020-11-01,111,0.7
2020-12-01,112,0.7
2021-01-01,113,0.7
2021-02-01,114,0.8
2021-03-01,116,0.8
2021-04-01,117,0.9
2021-05-01,118,0.9
2021-06-01,120,1.0
2021-07-01,121,1.0
2021-08-01,123,1.1
2021-09-01,124,1.1
2021-10-01,126,1.2
2021-11-01,127,1.2
2021-12-01,129,1.3
2022-01-01,130,1.3
2022-02-01,132,1.4
2022-03-01,133,1.4
2022-04-01,135,1.5
2022-05-01,136,1.5
2022-06-01,138,1.6
